date_trunc,status__c,count,sum
2010-01-01 00:00:00.000000,MEGTORTENT,25981,111074019
2010-02-01 00:00:00.000000,MEGTORTENT,23481,100389319
2010-03-01 00:00:00.000000,MEGTORTENT,26087,111662613
2010-04-01 00:00:00.000000,MEGTORTENT,25105,107411095
2010-05-01 00:00:00.000000,MEGTORTENT,25985,111079915
2010-06-01 00:00:00.000000,MEGTORTENT,25172,107724428
2010-07-01 00:00:00.000000,MEGTORTENT,26037,111398663
2010-08-01 00:00:00.000000,MEGTORTENT,26047,111424253
2010-09-01 00:00:00.000000,MEGTORTENT,25169,107689631
2010-10-01 00:00:00.000000,MEGTORTENT,25936,110997064
2010-11-01 00:00:00.000000,MEGTORTENT,25140,107637660
2010-12-01 00:00:00.000000,MEGTORTENT,26097,111670703
2011-01-01 00:00:00.000000,MEGTORTENT,26025,111317875
2011-02-01 00:00:00.000000,MEGTORTENT,23530,100707070
2011-03-01 00:00:00.000000,MEGTORTENT,25983,111106517
2011-04-01 00:00:00.000000,MEGTORTENT,25183,107747117
2011-05-01 00:00:00.000000,MEGTORTENT,26027,111339273
2011-06-01 00:00:00.000000,MEGTORTENT,25163,107677837
2011-07-01 00:00:00.000000,MEGTORTENT,26064,111619336
2011-08-01 00:00:00.000000,MEGTORTENT,26050,111496550
2011-09-01 00:00:00.000000,MEGTORTENT,25303,108268197
2011-10-01 00:00:00.000000,MEGTORTENT,26032,111401168
2011-11-01 00:00:00.000000,MEGTORTENT,25192,107719108
2011-12-01 00:00:00.000000,MEGTORTENT,26060,111477840
2012-01-01 00:00:00.000000,MEGTORTENT,25914,110919386
2012-02-01 00:00:00.000000,MEGTORTENT,24325,104099075
2012-03-01 00:00:00.000000,MEGTORTENT,26066,111520134
2012-04-01 00:00:00.000000,MEGTORTENT,25246,108021054
2012-05-01 00:00:00.000000,MEGTORTENT,25909,110893091
2012-06-01 00:00:00.000000,MEGTORTENT,25260,107993540
2012-07-01 00:00:00.000000,MEGTORTENT,26196,112055804
2012-08-01 00:00:00.000000,MEGTORTENT,26123,111740877
2012-09-01 00:00:00.000000,MEGTORTENT,25244,107887256
2012-10-01 00:00:00.000000,MEGTORTENT,25989,111178411
2012-11-01 00:00:00.000000,MEGTORTENT,25193,107746707
2012-12-01 00:00:00.000000,MEGTORTENT,26015,111301385
2013-01-01 00:00:00.000000,MEGTORTENT,25984,111079416
2013-02-01 00:00:00.000000,MEGTORTENT,23426,100273374
2013-03-01 00:00:00.000000,MEGTORTENT,26059,111375141
2013-04-01 00:00:00.000000,MEGTORTENT,25210,107964890
2013-05-01 00:00:00.000000,MEGTORTENT,26057,111513443
2013-06-01 00:00:00.000000,MEGTORTENT,25240,107986560
2013-07-01 00:00:00.000000,MEGTORTENT,26094,111609806
2013-08-01 00:00:00.000000,MEGTORTENT,26109,111657291
2013-09-01 00:00:00.000000,MEGTORTENT,25308,108241292
2013-10-01 00:00:00.000000,MEGTORTENT,26081,111585119
2013-11-01 00:00:00.000000,MEGTORTENT,25169,107639731
2013-12-01 00:00:00.000000,MEGTORTENT,26146,111867554
2014-01-01 00:00:00.000000,MEGTORTENT,26011,111205489
2014-02-01 00:00:00.000000,MEGTORTENT,23506,100504494
2014-03-01 00:00:00.000000,MEGTORTENT,26022,111289478
2014-04-01 00:00:00.000000,MEGTORTENT,25120,107494880
2014-05-01 00:00:00.000000,MEGTORTENT,26078,111526922
2014-06-01 00:00:00.000000,MEGTORTENT,25191,107737309
2014-07-01 00:00:00.000000,MEGTORTENT,25967,111102533
