ugyfel,number_of_visits,min_date_diff,avg_date_diff,max_date_diff
17423,20,0,10.3,49
6014,25,0,10.4,56
11584,29,0,10.5,45
14027,33,1,10.6,45
19103,31,0,10.8,65
13423,27,1,11.1,42
16561,23,0,11.1,37
8812,29,1,11.2,41
13060,24,0,11.5,40
18608,33,1,11.5,41
10336,30,0,11.5,41
10680,27,0,11.6,49
13818,10,2,11.6,45
12229,25,1,11.6,40
8821,31,1,11.7,56
17603,31,0,11.7,60
18854,24,1,11.8,35
17010,28,0,11.8,56
11598,25,0,11.8,41
17411,29,0,11.8,50
19309,27,0,11.9,40
16706,26,0,11.9,35
7749,27,0,11.9,74
390,30,1,11.9,47
7315,29,1,12,47
18133,30,0,12,53
9848,27,2,12,47
7743,29,0,12,30
7907,31,0,12,49
13378,30,0,12.1,39
8711,27,1,12.2,72
15620,27,0,12.2,32
14151,31,0,12.2,65
11589,26,0,12.2,45
1141,29,0,12.2,34
3928,29,0,12.2,52
17074,27,0,12.3,32
14176,9,0,12.3,59
10826,19,0,12.3,45
13832,24,0,12.4,45
16690,29,0,12.4,39
15802,28,0,12.4,33
714,28,1,12.4,46
8,31,1,12.4,49
19084,26,0,12.5,59
5267,28,1,12.5,73
17182,20,0,12.5,37
19296,23,0,12.5,39
4555,31,0,12.5,62
2306,27,1,12.5,104
17069,30,1,12.5,44
7770,25,1,12.5,36
5518,23,1,12.5,70
7449,25,1,12.5,49
18129,22,0,12.6,51
5111,9,1,12.6,53
17690,28,1,12.6,50
1909,22,0,12.6,34
9323,27,1,12.6,41
11543,20,0,12.6,41
18218,27,0,12.6,42
5955,27,0,12.6,44
14043,28,1,12.6,32
19207,24,2,12.6,34
2109,29,1,12.7,69
3850,25,0,12.7,44
4417,30,1,12.7,40
15102,27,0,12.7,35
13849,22,0,12.7,36
14181,19,1,12.8,47
17565,28,0,12.8,34
14688,29,0,12.8,63
3306,29,1,12.8,56
6909,24,1,12.8,41
8919,29,0,12.8,48
10957,25,0,12.8,45
3935,29,0,12.8,59
3680,30,0,12.8,39
13453,27,1,12.8,34
16065,23,0,12.8,42
2843,27,0,12.8,38
5530,26,1,12.8,41
13589,20,0,12.8,58
11781,26,0,12.8,41
2786,30,2,12.9,38
6304,29,0,12.9,33
8051,28,1,12.9,59
237,27,0,12.9,52
15282,25,0,12.9,49
17684,24,0,12.9,55
18522,27,0,12.9,62
18723,28,1,13,33
13976,28,1,13,53
8694,23,0,13,63
12281,12,1,13,45
15256,24,2,13,63
19514,26,1,13,36
8831,26,0,13,44
4841,29,0,13,40
14346,27,0,13,63
15172,23,1,13,43
15091,24,1,13,31
10576,29,0,13,48
14142,20,0,13.1,36
2999,29,0,13.1,38
4692,23,2,13.1,49
459,27,0,13.1,63
16404,27,0,13.1,52
9005,24,1,13.1,44
17851,28,0,13.1,53
8748,23,0,13.1,66
2911,29,1,13.1,48
10547,28,1,13.1,31
17298,26,1,13.1,80
10710,25,0,13.1,61
19702,22,0,13.1,60
12911,29,1,13.1,49
13055,27,0,13.2,32
1388,29,1,13.2,49
2646,25,1,13.2,63
4034,27,0,13.2,61
15507,21,0,13.2,42
7634,29,1,13.2,34
8146,21,0,13.2,97
10575,27,1,13.2,52
2536,26,0,13.2,66
12548,25,1,13.2,50
15517,22,1,13.3,43
7224,28,0,13.3,53
15143,26,0,13.3,44
9566,22,1,13.3,36
19564,26,1,13.3,38
13992,27,0,13.3,53
10717,24,0,13.3,64
9351,22,0,13.3,27
8166,25,1,13.3,68
14070,27,0,13.3,47
3146,26,1,13.3,57
235,29,1,13.3,37
12521,22,1,13.3,48
16519,24,0,13.3,40
12698,24,0,13.3,68
2094,25,1,13.4,42
18445,29,0,13.4,42
497,27,0,13.4,44
7433,23,0,13.4,56
2410,27,0,13.4,42
1057,28,0,13.4,56
7897,24,0,13.4,46
12829,27,0,13.4,44
11436,25,0,13.4,30
5828,22,1,13.4,31
6853,29,0,13.4,49
656,27,0,13.5,55
19034,26,0,13.5,51
9130,28,0,13.5,58
16187,22,0,13.5,47
9542,26,1,13.5,42
9263,23,0,13.5,69
18447,28,0,13.5,88
15277,17,2,13.5,31
5634,25,0,13.5,51
746,26,1,13.5,46
10927,29,2,13.5,43
15797,27,0,13.5,52
3139,26,1,13.5,40
11008,27,1,13.5,56
17530,27,1,13.5,56
5997,26,0,13.5,70
14811,28,1,13.6,47
12950,20,1,13.6,51
925,23,2,13.6,43
16383,26,0,13.6,50
14288,23,1,13.6,66
15073,27,0,13.6,68
14212,29,1,13.6,33
10514,28,0,13.6,42
4270,26,0,13.6,52
2944,28,0,13.6,45
